,sale_date,class_id,sale_quantity,brand_id,compartment,type_id,level_id,department_id,TR,gearbox_type,displacement,if_charging,price_level,price,driven_type_id,fuel_type_id,newenergy_type_id,emission_standards_id,if_MPV_id,if_luxurious_id,power,cylinder_number,engine_torque,car_length,car_width,car_height,total_quality,equipment_quality,rated_passenger,wheelbase,front_track,rear_track
7487,201505,103507,17,831,2,1,3,3,6,AT,2.0,L,10-15W,15.7,1,1,1,3,2,1,118.0,4,192,4270,1780,1630,1860,1425,5,2590,1557,1570
10605,201505,103507,6,831,2,1,3,3,6,AT,1.6,L,10-15W,15.7,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
10163,201505,103507,6,831,2,1,3,3,6,MT,1.6,L,10-15W,15.7,1,1,1,3,2,1,91.6,4,150.7,4270,1780,1630,1720,1275,5,2590,1557,1570
7097,201505,103507,162,831,2,1,3,3,6,AT,1.6,L,10-15W,15.7,1,1,1,3,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
13333,201505,103507,6,831,2,1,3,3,6,AT,2.0,L,10-15W,15.7,3,1,1,3,2,1,118.0,4,192,4270,1780,1630,1930,1510,5,2590,1557,1570
15250,201506,103507,6,831,2,1,3,3,6,AT,2.0,L,10-15W,13.5,1,1,1,3,2,1,118.0,4,192,4270,1780,1630,1860,1425,5,2590,1557,1570
16795,201506,103507,6,831,2,1,3,3,6,AT,2.0,L,10-15W,13.5,1,1,1,1,2,1,118,4,192,4270,1780,1630,1860,1425,5,2590,1557,1570
12513,201506,103507,12,831,2,1,3,3,6,AT,1.6,L,10-15W,13.5,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
6797,201506,103507,232,831,2,1,3,3,6,AT,1.6,L,10-15W,13.5,1,1,1,3,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
17085,201506,103507,12,831,2,1,3,3,7,DCT,1.6,T,10-15W,13.5,1,1,1,3,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
7032,201506,103507,6,831,2,1,3,3,6,AT,2.0,L,10-15W,13.5,3,1,1,3,2,1,118.0,4,192,4270,1780,1630,1930,1510,5,2590,1557,1570
9738,201506,103507,12,831,2,1,3,3,6,MT,1.6,L,10-15W,13.5,1,1,1,3,2,1,91.6,4,150.7,4270,1780,1630,1720,1275,5,2590,1557,1570
5879,201507,103507,12,831,2,1,3,3,6,AT,2.0,L,10-15W,17.8,3,1,1,1,2,1,118.0,4,192,4270,1780,1630,1930,1510,5,2590,1557,1570
10634,201507,103507,35,831,2,1,3,3,7,DCT,1.6,T,10-15W,17.8,1,1,1,3,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
15371,201507,103507,12,831,2,1,3,3,6,AT,2.0,L,10-15W,17.8,1,1,1,3,2,1,118.0,4,192,4270,1780,1630,1860,1425,5,2590,1557,1570
17083,201507,103507,23,831,2,1,3,3,6,AT,1.6,L,10-15W,17.8,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
9515,201507,103507,12,831,2,1,3,3,6,MT,1.6,L,10-15W,17.8,1,1,1,3,2,1,91.6,4,150.7,4270,1780,1630,1720,1275,5,2590,1557,1570
5425,201507,103507,203,831,2,1,3,3,6,AT,1.6,L,10-15W,17.8,1,1,1,3,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
10187,201508,103507,302,831,2,1,3,3,6,AT,1.6,L,10-15W,10.4,1,1,1,3,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
11296,201508,103507,12,831,2,1,3,3,6,MT,1.6,L,10-15W,10.4,1,1,1,3,2,1,91.6,4,150.7,4270,1780,1630,1720,1275,5,2590,1557,1570
13819,201508,103507,12,831,2,1,3,3,7,DCT,1.6,T,10-15W,10.4,1,1,1,3,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
13606,201508,103507,29,831,2,1,3,3,6,AT,1.6,L,10-15W,10.4,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
16830,201509,103507,6,831,2,1,3,3,6,AT,2.0,L,10-15W,14.9,1,1,1,1,2,1,118,4,192,4270,1780,1630,1860,1425,5,2590,1557,1570
5600,201509,103507,331,831,2,1,3,3,6,AT,1.6,L,10-15W,14.9,1,1,1,3,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
15449,201509,103507,23,831,2,1,3,3,7,DCT,1.6,T,10-15W,14.9,1,1,1,3,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
13027,201509,103507,12,831,2,1,3,3,6,MT,1.6,L,10-15W,14.9,1,1,1,3,2,1,91.6,4,150.7,4270,1780,1630,1720,1275,5,2590,1557,1570
15272,201509,103507,6,831,2,1,3,3,6,AT,2.0,L,10-15W,14.9,3,1,1,1,2,1,118.0,4,192,4270,1780,1630,1930,1510,5,2590,1557,1570
12512,201509,103507,41,831,2,1,3,3,6,AT,1.6,L,10-15W,14.9,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
16914,201509,103507,23,831,2,1,3,3,6,AT,2.0,L,10-15W,14.9,1,1,1,3,2,1,118,4,192,4270,1780,1630,1860,1425,5,2590,1557,1570
15335,201510,103507,23,831,2,1,3,3,7,DCT,1.6,T,10-15W,12.9,1,1,1,3,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
14150,201510,103507,6,831,2,1,3,3,6,MT,1.6,L,10-15W,12.9,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1720,1275,5,2590,1557,1570
8533,201510,103507,104,831,2,1,3,3,6,AT,1.6,L,10-15W,12.9,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
16176,201510,103507,870,831,2,1,3,3,6,AT,1.6,L,10-15W,12.9,1,1,1,3,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
13093,201510,103507,12,831,2,1,3,3,7,DCT,1.6,T,10-15W,12.9,1,1,1,1,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
16287,201510,103507,35,831,2,1,3,3,6,MT,1.6,L,10-15W,12.9,1,1,1,3,2,1,91.6,4,150.7,4270,1780,1630,1720,1275,5,2590,1557,1570
11819,201511,103507,365,831,2,1,3,3,6,AT,1.6,L,10-15W,10,1,1,1,3,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
15336,201511,103507,6,831,2,1,3,3,6,AT,2.0,L,10-15W,10,1,1,1,3,2,1,118.0,4,192,4270,1780,1630,1860,1425,5,2590,1557,1570
12184,201511,103507,52,831,2,1,3,3,6,AT,1.6,L,10-15W,10,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
6726,201511,103507,23,831,2,1,3,3,6,MT,1.6,L,10-15W,10,1,1,1,3,2,1,91.6,4,150.7,4270,1780,1630,1720,1275,5,2590,1557,1570
5732,201511,103507,6,831,2,1,3,3,6,AT,2.0,L,10-15W,10,3,1,1,1,2,1,118.0,4,192,4270,1780,1630,1930,1510,5,2590,1557,1570
13798,201511,103507,29,831,2,1,3,3,7,DCT,1.6,T,10-15W,10,1,1,1,3,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
15892,201512,103507,29,831,2,1,3,3,7,DCT,1.6,T,10-15W,16.7,1,1,1,1,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
14583,201512,103507,1195,831,2,1,3,3,6,AT,1.6,L,10-15W,16.7,1,1,1,3,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
16834,201512,103507,35,831,2,1,3,3,7,DCT,1.6,T,10-15W,16.7,1,1,1,3,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
7218,201512,103507,145,831,2,1,3,3,6,AT,1.6,L,10-15W,16.7,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
9473,201512,103507,29,831,2,1,3,3,6,MT,1.6,L,10-15W,16.7,1,1,1,3,2,1,91.6,4,150.7,4270,1780,1630,1720,1275,5,2590,1557,1570
17919,201601,103507,278,831,2,1,3,3,6,AT,1.6,L,10-15W,11.9,1,1,1,3,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
17499,201601,103507,6,831,2,1,3,3,6,MT,1.6,L,10-15W,11.9,1,1,1,3,2,1,91.6,4,150.7,4270,1780,1630,1720,1275,5,2590,1557,1570
17635,201601,103507,12,831,2,1,3,3,6,AT,2.0,L,15-20W,11.9,3,1,1,1,2,1,118,4,192,4270,1780,1630,1930,1510,5,2590,1557,1570
18110,201601,103507,12,831,2,1,3,3,7,DCT,1.6,T,15-20W,11.9,1,1,1,3,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
17778,201601,103507,6,831,2,1,3,3,6,AT,2.0,L,15-20W,11.9,1,1,1,1,2,1,118,4,192,4270,1780,1630,1860,1425,5,2590,1557,1570
17835,201601,103507,6,831,2,1,3,3,6,AT,2.0,L,15-20W,11.9,3,1,1,3,2,1,118,4,192,4270,1780,1630,1930,1510,5,2590,1557,1570
18035,201601,103507,35,831,2,1,3,3,7,DCT,1.6,T,15-20W,11.9,1,1,1,1,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
17930,201601,103507,621,831,2,1,3,3,6,AT,1.6,L,10-15W,11.9,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
17931,201601,103507,17,831,2,1,3,3,6,MT,1.6,L,10-15W,11.9,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1720,1275,5,2590,1557,1570
17857,201602,103507,17,831,2,1,3,3,7,DCT,1.6,T,15-20W,14.5,1,1,1,3,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
17891,201602,103507,6,831,2,1,3,3,6,MT,1.6,L,10-15W,14.5,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1720,1275,5,2590,1557,1570
17921,201602,103507,824,831,2,1,3,3,6,AT,1.6,L,10-15W,14.5,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
18008,201602,103507,6,831,2,1,3,3,7,DCT,1.6,T,15-20W,14.5,1,1,1,1,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
18027,201602,103507,6,831,2,1,3,3,6,AT,2.0,L,15-20W,14.5,3,1,1,1,2,1,118,4,192,4270,1780,1630,1930,1510,5,2590,1557,1570
20111,201602,103507,12,831,2,1,3,3,6,AT,2.0,L,15-20W,14.5,3,1,1,3,2,1,118,4,192,4270,1780,1630,1930,1510,5,2590,1557,1570
18059,201602,103507,12,831,2,1,3,3,6,AT,2.0,L,15-20W,14.5,1,1,1,1,2,1,118,4,192,4270,1780,1630,1860,1425,5,2590,1557,1570
18183,201602,103507,70,831,2,1,3,3,6,AT,1.6,L,10-15W,14.5,1,1,1,3,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
18605,201603,103507,6,831,2,1,3,3,6,AT,2.0,L,15-20W,10.4,3,1,1,3,2,1,118,4,192,4270,1780,1630,1930,1510,5,2590,1557,1570
18055,201603,103507,35,831,2,1,3,3,6,AT,2.0,L,15-20W,10.4,1,1,1,3,2,1,118,4,192,4270,1780,1630,1860,1425,5,2590,1557,1570
18205,201603,103507,6,831,2,1,3,3,6,AT,2.0,L,15-20W,10.4,3,1,1,1,2,1,118,4,192,4270,1780,1630,1930,1510,5,2590,1557,1570
19947,201603,103507,75,831,2,1,3,3,6,AT,1.6,L,10-15W,10.4,1,1,1,3,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
18206,201603,103507,12,831,2,1,3,3,7,DCT,1.6,T,15-20W,10.4,1,1,1,3,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
18730,201603,103507,493,831,2,1,3,3,6,AT,1.6,L,10-15W,10.4,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
18547,201603,103507,23,831,2,1,3,3,7,DCT,1.6,T,15-20W,10.4,1,1,1,1,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
18374,201604,103507,139,831,2,1,3,3,6,AT,1.6,L,10-15W,14,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
18853,201604,103507,6,831,2,1,3,3,7,DCT,1.6,T,15-20W,14,1,1,1,1,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
19201,201605,103507,29,831,2,1,3,3,6,MT,1.6,L,10-15W,16.1,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1720,1275,5,2590,1557,1570
18922,201605,103507,41,831,2,1,3,3,7,DCT,1.6,T,15-20W,16.1,1,1,1,1,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
18977,201605,103507,690,831,2,1,3,3,6,AT,1.6,L,10-15W,16.1,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
19079,201605,103507,12,831,2,1,3,3,6,AT,2.0,L,15-20W,16.1,1,1,1,1,2,1,118,4,192,4270,1780,1630,1860,1425,5,2590,1557,1570
20041,201606,103507,6,831,2,1,3,3,7,DCT,1.6,T,15-20W,16.9,1,1,1,1,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
19125,201606,103507,17,831,2,1,3,3,6,MT,1.6,L,10-15W,16.9,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1720,1275,5,2590,1557,1570
19297,201606,103507,6,831,2,1,3,3,6,AT,2.0,L,15-20W,16.9,3,1,1,1,2,1,118,4,192,4270,1780,1630,1930,1510,5,2590,1557,1570
19458,201606,103507,800,831,2,1,3,3,6,AT,1.6,L,10-15W,16.9,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
19342,201607,103507,12,831,2,1,3,3,7,DCT,1.6,T,15-20W,14.2,1,1,1,1,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
19809,201607,103507,354,831,2,1,3,3,6,AT,1.6,L,10-15W,14.2,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
19752,201607,103507,6,831,2,1,3,3,6,MT,1.6,L,10-15W,14.2,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1720,1275,5,2590,1557,1570
19539,201607,103507,6,831,2,1,3,3,6,AT,2.0,L,15-20W,14.2,3,1,1,1,2,1,118,4,192,4270,1780,1630,1930,1510,5,2590,1557,1570
19717,201608,103507,23,831,2,1,3,3,7,DCT,1.6,T,15-20W,12.7,1,1,1,1,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
19876,201608,103507,6,831,2,1,3,3,6,MT,1.6,L,10-15W,12.7,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1720,1275,5,2590,1557,1570
20116,201608,103507,377,831,2,1,3,3,6,AT,1.6,L,10-15W,12.7,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
70,201609,103507,12,831,2,1,3,3,6,MT,1.6,L,10-15W,17.8,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1720,1275,5,2590,1557,1570
499,201609,103507,46,831,2,1,3,3,7,DCT,1.6,T,10-15W,17.8,1,1,1,1,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
732,201609,103507,626,831,2,1,3,3,6,AT,1.6,L,10-15W,17.8,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
342,201610,103507,12,831,2,1,3,3,6,MT,1.6,L,10-15W,13.8,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1720,1275,5,2590,1557,1570
347,201610,103507,568,831,2,1,3,3,6,AT,1.6,L,10-15W,13.8,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
379,201610,103507,52,831,2,1,3,3,7,DCT,1.6,T,10-15W,13.8,1,1,1,1,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
586,201611,103507,87,831,2,1,3,3,7,DCT,1.6,T,10-15W,13.8,1,1,1,1,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
1229,201611,103507,6,831,2,1,3,3,6,MT,1.6,L,10-15W,13.8,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1720,1275,5,2590,1557,1570
1687,201611,103507,783,831,2,1,3,3,6,AT,1.6,L,10-15W,13.8,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
1038,201612,103507,1514,831,2,1,3,3,6,AT,1.6,L,10-15W,10,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
2176,201612,103507,139,831,2,1,3,3,7,DCT,1.6,T,10-15W,10,1,1,1,1,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
2291,201701,103507,29,831,2,1,3,3,7,DCT,1.6,T,10-15W,12.4,1,1,1,1,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
2323,201701,103507,470,831,2,1,3,3,6,AT,1.6,L,10-15W,12.4,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
1705,201702,103507,400,831,2,1,3,3,6,AT,1.6,L,10-15W,10,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
2233,201702,103507,35,831,2,1,3,3,7,DCT,1.6,T,10-15W,10,1,1,1,1,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
1889,201703,103507,6,831,2,1,3,3,6,MT,1.6,L,10-15W,10.8,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1720,1275,5,2590,1557,1570
1550,201703,103507,336,831,2,1,3,3,6,AT,1.6,L,10-15W,10.8,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
3534,201703,103507,29,831,2,1,3,3,7,DCT,1.6,T,10-15W,10.8,1,1,1,1,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
2224,201704,103507,23,831,2,1,3,3,7,DCT,1.6,T,10-15W,9.7,1,1,1,1,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
2395,201704,103507,267,831,2,1,3,3,6,AT,1.6,L,10-15W,9.7,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
3086,201705,103507,6,831,2,1,3,3,7,DCT,1.6,T,10-15W,12,1,1,1,1,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
3506,201705,103507,423,831,2,1,3,3,6,AT,1.6,L,10-15W,12,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
4478,201706,103507,6,831,2,1,3,3,7,DCT,1.6,T,10-15W,12.7,1,1,1,1,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
4278,201706,103507,365,831,2,1,3,3,6,AT,1.6,L,10-15W,12.7,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
3592,201707,103507,6,831,2,1,3,3,7,DCT,1.6,T,10-15W,14.9,1,1,1,1,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
4461,201707,103507,307,831,2,1,3,3,6,AT,1.6,L,10-15W,14.9,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
3521,201708,103507,174,831,2,1,3,3,6,AT,1.6,L,10-15W,11,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
3765,201708,103507,6,831,2,1,3,3,7,DCT,1.6,T,10-15W,11,1,1,1,1,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
4824,201709,103507,157,831,2,1,3,3,6,AT,1.6,L,10-15W,14.8,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
4332,201709,103507,6,831,2,1,3,3,6,MT,1.6,L,10-15W,14.8,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1720,1275,5,2590,1557,1570
4540,201709,103507,23,831,2,1,3,3,7,DCT,1.6,T,10-15W,14.8,1,1,1,1,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
3869,201710,103507,180,831,2,1,3,3,6,AT,1.6,L,10-15W,10,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
